a,Menu Predefinido: Menu Predefinido()
Menú Niños,Zumo de Naranja,Mini Pizzas con Queso,Mini Pizza Margherita,Galletas Decoradas,16.5
Menú Niños,Zumo de Manzana,Mini Pizzas con Queso,Mini Pizza Margherita,Galletas Decoradas,16.5
Menú Halloween,Limo Verde (Refresco de Lima),Calabaza Rellena de Quinoa,Estofado de Calabaza y Setas,Cupcakes de Araña,25.0
Menú Niños,Zumo de Manzana,Mini Pizzas con Queso,Mini Pizza Margherita,Galletas Decoradas,16.5
c,Menú Simple,Nestea,Bruschetta,Pizza Delizioso ,Tiramisú,24.5
a,Menú Niños,Zumo de Manzana,Mini Pizzas con Queso,Mini Pizza Margherita,Galletas Decoradas,16.5
g,Menú Simple,Fanta (Naranja),Carpaccio de Res,Pizza Vegetariana,Tiramisú,28.0
a,Menú Niños,Zumo de Manzana,Mini Pizzas con Queso,Mini Pizza Margherita,Galletas Decoradas,16.5
q,Menú Halloween,Limo Verde (Refresco de Lima),Calabaza Rellena de Quinoa,Estofado de Calabaza y Setas,Cupcakes de Araña,25.0
r,Menú Simple,Nestea,Bruschetta,Pizza Delizioso ,Tiramisú,24.5
moyis,Menú Halloween,Agua Embrujada (Agua Mineral),Ojos de Murciélago (Aceitunas rellenas),Pizza Espectral (Pizza de Queso),Cupcakes de Araña,20.0
e,Menú Halloween,Agua Embrujada (Agua Mineral),Cerebros a la Parrilla (Empanadas de Carne),Hamburguesa Monstruosa (Hamburguesa de Ternera),Cementerio de Helado (Helado de Vainilla con Galletas),27.0
2,Menú Niños,Zumo de Manzana,Mini Pizzas con Queso,Mini Pizza Margherita,Galletas Decoradas,16.5
e,Menú Niños,Zumo de Naranja,Mini Pizzas con Queso,Mini Pizza Delizioso ,Galletas Decoradas,17.5
1,Menú Simple,Nestea,Bruschetta,Pizza Delizioso ,Tiramisú,24.5
3,Menú Halloween,Limo Verde (Refresco de Lima),Calabaza Rellena de Quinoa,Estofado de Calabaza y Setas,Cupcakes de Araña,25.0
4,Menú San Valentín,Agua con Gas de Litro,Tartar de Atún con Aguacate y Sésamo,Salmón al Horno con Hierbas,Café Especial de San Valentín,38.0
w,Menú Niños,Zumo de Manzana,Mini Pizzas con Queso,Mini Pizza Margherita,Galletas Decoradas,16.5
e,Menú Simple,Nestea,Bruschetta,Pizza Delizioso ,Tiramisú,24.5
